// 20251220

江西移动,#group#


央视,#genre#
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225501/01.m3u8?fmt=ts2hls$江西移动IPTV
CCTV2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225500/01.m3u8?fmt=ts2hls$江西移动IPTV
CCTV3,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226256/01.m3u8?fmt=ts2hls$江西移动
CCTV4,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226348/01.m3u8?fmt=ts2hls$江西移动
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226259/01.m3u8?fmt=ts2hls$江西移动
CCTV6,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226255/01.m3u8?fmt=ts2hls$江西移动
CCTV7,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225499/01.m3u8?fmt=ts2hls$江西移动IPTV
CCTV8,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226258/01.m3u8?fmt=ts2hls$江西移动
CCTV9,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226357/01.m3u8?fmt=ts2hls$江西移动
CCTV10,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225496/01.m3u8?fmt=ts2hls$江西移动IPTV
CCTV11,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226349/01.m3u8?fmt=ts2hls$江西移动IPTV
CCTV12,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225495/01.m3u8?fmt=ts2hls$江西移动IPTV
CCTV13,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226329/01.m3u8?fmt=ts2hls$江西移动IPTV
CCTV14,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225494/01.m3u8?fmt=ts2hls$江西移动IPTV
CCTV15,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226332/01.m3u8?fmt=ts2hls$江西移动IPTV
CCTV16,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226230/01.m3u8$江西移动
CCTV17,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226335/01.m3u8?fmt=ts2hls$江西移动
CCTV4美洲,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226366/01.m3u8?fmt=ts2hls$江西移动IPTV
CCTV4欧洲,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226361/01.m3u8?fmt=ts2hls$江西移动IPTV
中国教育1台,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225917/01.m3u8?fmt=ts2hls$江西移动
中国教育2台,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226350/01.m3u8?fmt=ts2hls$江西移动
中国教育4台,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225969/01.m3u8?fmt=ts2hls$江西移动
CGTN,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226369/01.m3u8?fmt=ts2hls$江西移动IPTV
